"date","main_gas","oak_gas","main_ele","oak_ele","oat_hull","pellet_coal","pellet","gas_the","pellet_per","pellet_the","hull_the","coal_the","coal_co2","pellet_co2","gas_co2","hull_co2","gas_n20","pellet_n20","hull_n20","coal_n20","coal_ch4","gas_ch4","pellet_ch4","hull_ch4","ele_co2","ele_ch4","ele_n20"
2021-08-28,2856.40819595179,298.420074349442,1138.83345915493,53.9350772192379,0,234.680290772165,192.083289538004,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-29,1520.34918310237,305.669144981413,1053.26294592896,56.5144388205473,311.469139020059,171.651624015384,201.243015897518,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-30,558.490409781851,330.204460966543,1089.55843921305,56.5303144914526,466.524498373266,140.181156515735,205.488591074166,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-31,264.017703556003,338.382899628253,1048.76027978521,55.8932041404115,468.655982524329,139.276282741156,221.756020309327,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-09-01,295.863138261298,332.745825602968,1064.57987051497,54.261959848287,429.263107864344,131.283279895663,194.265047218118,0.001078,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-09-02,288.735158018382,324.860853432282,1042.72767642581,51.5427497935776,310.825820395522,164.277940414966,197.227394085461,0.001078,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-09-03,1516.44142313334,326.530612244898,1058.09894713311,53.3938657099932,16.5431791585593,231.684116159324,201.917073195343,0.001078,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-09-04,1480.74056147337,312.244897959184,990.099615805379,51.1224640557454,0,237.80116063622,206.600717118971,0.001078,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-09-05,1331.52590166606,308.163265306122,923.916740915943,47.3529411894674,0,240.511806287323,200.995648634713,0.001078,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-09-06,3353.79484054817,279.684601113173,979.116317051146,49.1765568676324,0,239.861128076279,0.637713722672158,0.001078,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
